"group","id","niche_type","n_points","n_axes","rsp_column","weighted","volume_observed"
"humans","5181","Potential",188,6,"rsp_humans",TRUE,0.143631858341292
"humans","5181","Realized",49,6,"rsp_humans",TRUE,0.0974519916097476
"humans","5264","Potential",1476,6,"rsp_humans",TRUE,0.357634997377282
"humans","5264","Realized",289,6,"rsp_humans",TRUE,0.221037455661049
"humans","5268","Potential",348,6,"rsp_humans",TRUE,0.171559013904184
"humans","5268","Realized",119,6,"rsp_humans",TRUE,0.132541048228813
"humans","5270","Potential",182,6,"rsp_humans",TRUE,0.0995272868486224
"humans","5270","Realized",51,6,"rsp_humans",TRUE,0.101346172073436
"humans","5277","Potential",108,6,"rsp_humans",TRUE,0.159473242887373
"humans","5277","Realized",44,6,"rsp_humans",TRUE,0.125941946229418
"humans","5278","Potential",419,6,"rsp_humans",TRUE,0.122440172923476
"humans","5278","Realized",100,6,"rsp_humans",TRUE,0.135114279035771
"humans","5282","Potential",145,6,"rsp_humans",TRUE,0.121788954341001
"humans","5282","Realized",38,6,"rsp_humans",TRUE,0.0834708353245991
"humans","5284","Potential",34,6,"rsp_humans",TRUE,0.0859299867213732
"humans","5284","Realized",18,6,"rsp_humans",TRUE,NA
"humans","5285","Potential",938,6,"rsp_humans",TRUE,0.113907681605458
"humans","5285","Realized",183,6,"rsp_humans",TRUE,0.081886304968296
"humans","5301","Potential",5822,6,"rsp_humans",TRUE,0.213632788818168
"humans","5301","Realized",1119,6,"rsp_humans",TRUE,0.170355594801505
"humans","5303","Potential",1535,6,"rsp_humans",TRUE,0.26231579273633
"humans","5303","Realized",365,6,"rsp_humans",TRUE,0.216654415238047
"humans","5308","Potential",157,6,"rsp_humans",TRUE,0.0737304761571393
"humans","5308","Realized",29,6,"rsp_humans",TRUE,NA
"humans","5439","Potential",747,6,"rsp_humans",TRUE,0.0832420953025074
"humans","5439","Realized",198,6,"rsp_humans",TRUE,0.120759157422491
