"group","id","jaccard_lwr","jaccard_upr","sorensen_lwr","sorensen_upr","frac_unique_1_lwr","frac_unique_1_upr","frac_unique_2_lwr","frac_unique_2_upr"
"food","5181",0.00554910188882328,0.0171643564371824,0.0110369584617237,0.0337494256811876,0.982796801437436,0.99444954322151,0,0.192307692307692
"food","5264",0.209691087804684,0.464295921691793,0.346685347864223,0.634155707771838,0.495811679957374,0.789343940258325,0.017129907570906,0.150916261529152
"food","5268",0.0786056704174995,0.223558519132229,0.145754230640602,0.365423493090902,0.770699685734385,0.920865684276835,0.00742363349367949,0.192359958850468
"food","5270",0.282860778986173,0.539872444735133,0.440984372838662,0.701190834650264,0.383824359060559,0.709031871669867,0.0540399103658772,0.238351615163017
"food","5277",0.200687932328929,0.601514780258831,0.334287707803755,0.751182279518462,0.0209973324513213,0.714671725500462,0.0459314670557278,0.793102524194681
"food","5278",0.144567858080863,0.318627526259077,0.252615592399605,0.48327145807735,0.630178666702215,0.853309635980324,0.0566837729542095,0.353749859163255
"food","5282",0.0474833937218673,0.241213559978399,0.0906618540556161,0.388673419023421,0.0690219716883096,0.351572933362545,0.728890008150872,0.952092963805145
"food","5284",NA,NA,NA,NA,NA,NA,NA,NA
"food","5285",0.100892944398711,0.270235351127854,0.183292925821049,0.425488586529445,0.149443280190766,0.222720557133489,0.710098118401786,0.896882365650484
"food","5301",0.467911235524179,0.555134119676875,0.637519792641617,0.713937290177539,0.401137888632191,0.513049566498633,0.0681002840974315,0.136769112570003
"food","5303",0.526922734472254,0.766184085361817,0.690175872169534,0.867615185271247,0.0703582053183652,0.263568567751663,0.099980499218175,0.436401492706686
"food","5308",0.034030883219094,0.460605416708947,0.0658217882516833,0.630704784822393,0.00627125448705845,0.819682994851581,0.236011801242236,0.965957589339208
"food","5439",0.1372652715183,0.317918693975495,0.241395343325616,0.482455672014315,0.620639459834147,0.858162563711727,0.15324434011934,0.378739079613398
